DialogueID,TriggerEvent,SpeakerType,Text_CN,Text_EN,AudioPath,Duration,NextDialogueID,ChoiceOptions
DLG_C2_001,EnterHall2,Narrator,这是第二展厅...左边是温室，右边是镜子。植物在等待生长，镜中的人偶在等待自由。这里...关于成长的秘密。,This is the second hall... On the left is the greenhouse on the right is the mirror. Plants await growth puppets in the mirror await freedom. Here... the secret of growth.,/Game/Audio/Dialogue/C2/DLG_C2_001.wav,8,,
DLG_C2_002,ObserveSeedBox,Narrator,四种种子，四种颜色。金色、蓝色、紫色、粉红色。它们在等待被种下。,Four seeds four colors. Gold blue purple pink. They await planting.,/Game/Audio/Dialogue/C2/DLG_C2_002.wav,5,,
DLG_C2_003,ReadDiary,Narrator,"园丁的笔记：植物的生长需要四种元素——阳光、水分、时间、空间。有些植物需要阳光，有些需要水。有些在夜晚开花，有些需要独处。最特别的是蔷薇——它需要空间，需要独立的生长环境。只有当你离开时，它才会盛开。就像关系一样——有时候，空间和独立，是成长的必须。","Gardener's notes: Plant growth requires four elements - sunlight water time and space. Some plants need sunlight some need water. Some bloom at night some need solitude. The most special is the rose - it needs space needs an independent growing environment. Only when you leave will it bloom. Just like relationships - sometimes space and independence are necessary for growth.",/Game/Audio/Dialogue/C2/DLG_C2_003.wav,20,,
DLG_C2_004,SunflowerBloomed,Narrator,向日葵追随阳光...就像我追随你的温暖。你的笑容，是我的阳光。,The sunflower follows the sun... just as I follow your warmth. Your smile is my sunlight.,/Game/Audio/Dialogue/C2/DLG_C2_004.wav,6,,
DLG_C2_005,WaterLilyBloomed,Narrator,睡莲生长在水中...就像我们的爱，浸润在日常里。每一天的陪伴，都是滋养。,The water lily grows in water... just as our love is immersed in daily life. Every day of companionship is nourishment.,/Game/Audio/Dialogue/C2/DLG_C2_005.wav,6,,
DLG_C2_006,MoonflowerBloomed,Narrator,月见草在夜晚开花...有些美好，需要等待。我愿意等待，因为我知道你值得。,The moonflower blooms at night... some beauty needs waiting. I am willing to wait because I know you are worth it.,/Game/Audio/Dialogue/C2/DLG_C2_006.wav,6,,
DLG_C2_007,RoseHint,Narrator,蔷薇似乎需要特殊的条件...也许，日记里有线索？,The rose seems to need special conditions... perhaps there are clues in the diary?,/Game/Audio/Dialogue/C2/DLG_C2_007.wav,4,,
DLG_C2_008,RoseRealization,Narrator,空间...独立...也许，蔷薇需要我离开？就像笔记里说的，有些植物需要独处。,Space... independence... perhaps the rose needs me to leave? Just like the notes said some plants need solitude.,/Game/Audio/Dialogue/C2/DLG_C2_008.wav,5,,
DLG_C2_009,RoseBloomed,Narrator,蔷薇需要独处才能生长...当我离开时，它在静静地盛开。有时候，空间不是疏远——而是为了更好的生长。独立，是为了更好的相依。,The rose needs solitude to grow... When I left it bloomed quietly. Sometimes space is not distance - but for better growth. Independence is for better interdependence.,/Game/Audio/Dialogue/C2/DLG_C2_009.wav,10,,
DLG_C2_010,FourFlowersBloomed,Narrator,四种元素，缺一不可。阳光、水分、时间、空间——这就是爱的养分。,Four elements all indispensable. Sunlight water time space— these are the nutrients of love.,/Game/Audio/Dialogue/C2/DLG_C2_010.wav,5,,
DLG_C2_011,EnterMirrorArea,Narrator,这是...《双人成形》？我们一起玩过这个游戏。两个小人，必须合作才能前进。但有时，他们必须分开。,This is... It Takes Two? We played this game together. Two little characters must cooperate to progress. But sometimes they must separate.,/Game/Audio/Dialogue/C2/DLG_C2_011.wav,8,,
DLG_C2_012,ReadStele,Narrator,我们是镜像，但不是复制。我向左，你向右。我上升，你下降。但我们的目标，始终相同。合作，不是失去自我，而是在保持自我的同时，共同前进。,We are mirrors but not copies. I go left you go right. I ascend you descend. But our goal is always the same. Cooperation is not losing oneself but moving forward together while maintaining oneself.,/Game/Audio/Dialogue/C2/DLG_C2_012.wav,12,,
DLG_C2_013,SyncButtonComplete,Narrator,同步...我们的心跳，同步。即使在镜子的两侧，我们依然连接。,Synchronization... our heartbeats synchronize. Even on opposite sides of the mirror we remain connected.,/Game/Audio/Dialogue/C2/DLG_C2_013.wav,5,,
DLG_C2_014,SeparatePathComplete,Narrator,分离...但不是分开。我们走不同的路，但目标相同。就像蔷薇，需要独处才能生长。我们分开，但心在一起。,Separation... but not apart. We walk different paths but share the same goal. Just like the rose needs solitude to grow. We separate but our hearts are together.,/Game/Audio/Dialogue/C2/DLG_C2_014.wav,8,,
